Country Name,Country Code,Cost,Fruits,Vegetables,Starchy Staples,Animal-source Foods,Nuts,Oils and Fats,CS Fruits,CS Vegetables,CS Starchy Staples,CS Animal-sourced Foods,CS Nuts,CS Oils and Fats,Affordability,Percent cannot afford,Millions of people who cannot afford,GNI,Undernourishment,TagGNI,Vergleich
Tanzania,TZA,2.43,0.15,0.19,0.59,0.93,0.27,0.3,0.06,0.08,0.24,0.38,0.11,0.12,1.19,75.2,47.8,1130,23.9,3.095890410958904,78.49115044247789
Thailand,THA,4.53,0.79,0.9,0.83,0.89,0.98,0.15,0.18,0.2,0.18,0.2,0.22,0.03,1.44,18.3,13.1,7090,5.8,19.42465753424657,23.320874471086046
Togo,TGO,2.86,0.28,0.35,0.61,1.21,0.23,0.19,0.1,0.12,0.21,0.42,0.08,0.07,2.12,54.0,4.7,920,14.1,2.52054794520548,113.4673913043478
Trinidad and Tobago,TTO,4.51,1.22,1.1,0.69,0.92,0.4,0.18,0.27,0.24,0.15,0.2,0.09,0.04,0.4,39.2,0.6,16370,12.8,44.84931506849315,10.055894929749542
Tunisia,TUN,4.03,1.19,0.61,0.3,1.17,0.59,0.18,0.29,0.15,0.07,0.29,0.15,0.05,1.98,7.3,0.9,3630,3.4,9.945205479452056,40.522038567493105
Turkiye,TUR,3.82,0.97,0.6,0.51,1.14,0.42,0.19,0.25,0.16,0.13,0.3,0.11,0.05,1.21,8.7,7.4,10010,2.5,27.42465753424657,13.92907092907093
Uganda,UGA,3.15,0.3,0.42,0.64,1.21,0.3,0.28,0.09,0.13,0.2,0.38,0.1,0.09,2.33,71.4,32.7,860,36.8,2.356164383561644,133.69186046511626
United Arab Emirates,ARE,2.86,0.48,0.32,0.45,0.99,0.35,0.26,0.17,0.11,0.16,0.35,0.12,0.09,0.26,0.0,0.0,42640,3.4,116.82191780821918,2.4481707317073167
United Kingdom,GBR,1.93,0.58,0.44,0.16,0.47,0.23,0.06,0.3,0.23,0.08,0.24,0.12,0.03,0.17,3.0,2.0,45510,2.5,124.68493150684932,1.547901560096682
United States,USA,2.36,0.53,0.74,0.29,0.56,0.17,0.06,0.22,0.32,0.13,0.24,0.07,0.03,0.21,2.5,8.4,71500,2.5,195.8904109589041,1.2047552447552445
Uruguay,URY,3.31,0.81,0.67,0.44,0.79,0.48,0.11,0.25,0.2,0.13,0.24,0.15,0.03,0.3,37.8,1.3,16200,2.5,44.38356164383562,7.457716049382715
Uzbekistan,UZB,5.09,1.29,0.59,1.05,1.39,0.47,0.29,0.25,0.12,0.21,0.27,0.09,0.06,2.49,15.7,5.3,2250,2.5,6.164383561643835,82.57111111111112
Viet Nam,VNM,3.69,0.59,0.62,0.69,1.24,0.37,0.18,0.16,0.17,0.19,0.34,0.1,0.05,1.81,9.6,9.4,3540,5.2,9.6986301369863,38.04661016949154
Zambia,ZMB,3.2,0.35,0.3,0.91,1.03,0.39,0.22,0.11,0.09,0.28,0.32,0.12,0.07,2.37,81.3,15.8,1040,34.4,2.8493150684931505,112.30769230769234
